Latitud;Longitud;Medidor
-1.65405;-79.7664;0011473857
-1.56032;-79.7599;15029974
-1.56435;-79.7549;0011473874
-1.55602;-79.7533;0008325048
-1.55607;-79.7528;0011473866
-1.55758;-79.7523;16567749
-1.55087;-79.7519;0011473867
-1.55775;-79.7517;15842884
-1.55722;-79.7514;0004384271
-1.54981;-79.7512;15029846
-1.5585;-79.7508;0011473864
-1.56186;-79.7504;16951212
-1.55625;-79.7503;52071445
-1.56006;-79.75;0011474027
-1.54059;-79.7373;59814798
-1.3737;-79.688;15842893
-1.66202;-79.7163;0011473869
-1.7837;-79.6816;16567746
-1.78376;-79.6804;0008882396
-1.78385;-79.6802;0008882395
-1.78315;-79.6791;0011473853
-1.78324;-79.6797;0013892522
-1.54984;-79.6571;17548290
-1.71055;-79.6115;0011481107
-1.83145;-79.6102;0011474030
-1.99886;-79.6096;0013892518
-1.96015;-79.5937;0008325466
-1.92567;-79.5742;0009876425
-1.43082;-79.562;20037214
-1.88488;-79.5617;16567750
-1.62855;-79.5598;0008882399
-1.8895;-79.5588;0011473865
-1.42301;-79.5591;0014059541
-1.62801;-79.5566;15029844
-1.89174;-79.5559;0013893015
-1.89391;-79.5547;20037220
-1.81872;-79.5528;15029843
-1.84812;-79.5505;15842894
-1.8131;-79.5484;35925134
-1.84362;-79.5476;0014059567
-1.83221;-79.5471;0014059543
-1.81321;-79.5467;15029834
0;0;52071408
-1.80878;-79.5458;0014059542
-1.80472;-79.5455;16567751
-1.80866;-79.5433;52073219
0;0;52073196
-1.80817;-79.5432;52073213
-1.80877;-79.5434;52073200
0;0;41172960
-1.80757;-79.5428;0014059544
-1.81002;-79.5421;58706632
-1.80417;-79.5421;0011474016
-1.80868;-79.541;0008325467
-1.80578;-79.5405;35924863
-1.6934;-79.5406;0011473882
-1.80855;-79.5396;52071447
-1.80095;-79.5392;52073382
-1.56358;-79.5393;16567732
-1.56444;-79.5392;0011473841
-1.80091;-79.5385;0011473835
-1.80012;-79.5385;52073227
-1.80011;-79.5385;58706659
-1.80051;-79.5384;15029837
-1.56416;-79.5383;0011474022
-1.79995;-79.5371;0008882390
-1.79935;-79.5368;52073359
-1.79978;-79.5367;0011563113
-1.79992;-79.5366;0013893005
-1.80183;-79.5362;35924864
-1.79977;-79.5363;52073215
0;0;52071416
-1.79859;-79.5358;52073376
-1.79865;-79.5357;52073366
-1.79984;-79.5355;28006838
-1.79981;-79.5353;28006904
-1.79866;-79.5351;35925296
-1.80424;-79.5349;52073352
-1.79488;-79.5348;0008325470
-1.79966;-79.5342;52073163
-1.79816;-79.5339;52073226
0;0;35946543
-1.79814;-79.5335;53307872
-1.79919;-79.5334;15029847
-1.79873;-79.5332;35924882
